,Richmond,El_Cerrito_Norte,El_Cerrito_Plaza,North_Berkeley,Berkeley,Ashby,MacArthur,19_TH,12_TH,Lake_Merritt,Fruitvale,Coliseum,San_Leandro,Bayfair,Hayward,South_Hayward,Union_City,Fremont,Concord,Pleasant_Hill,Walnut_Creek,Lafayette,Orinda,Rockridge,West_Oakland,Embarcadero,Montgomery_Stree,Powell_Street,Civic_Center,16_th,24_TH,Glen_Park,Balboa_Park,Daly_City,Colma,Castro_Valley,Dublin,North_Concord,Pittsburg,South_SF,San_Bruno,SFO,Millbrae,West_Dublin,Oakland_Air,Warm_Springs,Pittsburgh_Center,Antioch
Bayfair,23.63157895,40.15789474,17.15789474,19.15789474,144.1578947,35.84210526,94.05263158,240.3157895,328.3684211,249.5789474,191.8421053,224.6315789,116.2631579,14.84210526,106.2631579,61.42105263,86.26315789,179.5789474,21.63157895,12.15789474,14.36842105,5.789473684,2.684210526,13.10526316,39.89473684,682.4210526,748.2105263,574.3157895,494.8421053,156.4736842,89,33.78947368,56.68421053,107.3684211,11.21052632,48.78947368,128.8947368,6.210526316,10.78947368,11.84210526,14.15789474,28.42105263,9.947368421,68.78947368,6.105263158,61.05263158,4.684210526,7.421052632
Ashby,109.7894737,128.4210526,78.36842105,58.42105263,303.2631579,18.52631579,83.42105263,249.1578947,257.5789474,71.10526316,102.6842105,93.42105263,51.78947368,37,35,18.26315789,33.78947368,36.94736842,24.21052632,26.31578947,27.36842105,8.315789474,6.684210526,12.63157895,21.52631579,754.3157895,799.6315789,472.0526316,532.4210526,232.4210526,123.9473684,32.94736842,46.94736842,53.21052632,10.05263158,10.05263158,19.05263158,8.631578947,15.10526316,9.473684211,13.47368421,58.05263158,35.52631579,14.47368421,26.57894737,24.84210526,6.631578947,12.26315789
El_Cerrito_Plaza,88.26315789,79.84210526,17.73684211,54.10526316,741.1052632,81.21052632,127.7894737,300.1578947,334.9473684,86.78947368,50.78947368,64.94736842,30.21052632,18.36842105,31.36842105,9.157894737,18.05263158,39.21052632,18.36842105,18.47368421,27.05263158,9.578947368,7.631578947,28.47368421,12.52631579,621.1578947,693,447,452.5263158,140.2631579,70.78947368,29.26315789,49.36842105,70.68421053,7.263157895,3.947368421,12.57894737,4.368421053,9.105263158,8.263157895,12.10526316,71.94736842,28.89473684,6.210526316,30.89473684,14.89473684,4.526315789,4.684210526
Hawyard,47,89.47368421,30.47368421,32.73684211,135.0526316,37.31578947,89.36842105,222.8947368,300,154.5789474,226.7368421,197.5263158,171.6315789,101.6315789,21.78947368,106.3157895,211.2631579,299.7894737,38.47368421,18.42105263,20.31578947,6.684210526,6.263157895,19.36842105,33.94736842,488.4210526,557.8421053,363.2105263,319.8947368,106.1578947,61.52631579,34.63157895,42.84210526,69.26315789,7,19.94736842,74.47368421,11.94736842,33.21052632,11.36842105,14.73684211,26.05263158,8.157894737,37.57894737,12.78947368,103.1052632,13.84210526,27.36842105
Union_City,16.31578947,37.89473684,18.63157895,20.05263158,173.2105263,37.68421053,74.05263158,229.3157895,248.7894737,126.6315789,90.31578947,129.1052632,100.3684211,94.68421053,211.4210526,82.26315789,26.52631579,236.5263158,15.47368421,19.26315789,19.21052632,5.526315789,4.789473684,13.36842105,13.94736842,942.4736842,829.2105263,392.5789474,344.7368421,94.31578947,40.63157895,11.31578947,27.68421053,78.78947368,5.578947368,19.68421053,63.05263158,2.421052632,10.21052632,5.842105263,3.421052632,27.15789474,3.368421053,27.84210526,18.78947368,51.63157895,3.789473684,9.736842105
North_Berkeley,78.68421053,84.89473684,50,17.52631579,197.7894737,74.52631579,89.47368421,272.1052632,252.9473684,57.47368421,63.68421053,62.94736842,31.10526316,16.31578947,32.78947368,11.52631579,19.89473684,29.36842105,23.63157895,22.31578947,23.36842105,7.684210526,10.84210526,19.21052632,13.21052632,673.9473684,742.7894737,418.5789474,491.6842105,167.5263158,98.26315789,29.42105263,41.73684211,49.26315789,8.052631579,7.315789474,14.36842105,4.684210526,6.947368421,6.947368421,8.526315789,84.57894737,41.63157895,6.526315789,38.47368421,20.68421053,5.210526316,6.631578947
Colma,15.10526316,28,5.526315789,7.789473684,34.94736842,9.473684211,24.63157895,72.89473684,121.8421053,12.47368421,9,16.68421053,10.05263158,7.473684211,6.631578947,7.105263158,6.894736842,5.052631579,26.73684211,12.73684211,16.89473684,7.157894737,3.210526316,5.578947368,17.31578947,880.8947368,1030,645.3157895,497.6315789,143.3157895,143.9473684,46.15789474,91.05263158,45.57894737,14,5,18.68421053,3.368421053,16.42105263,15.68421053,42.31578947,131.4736842,94.15789474,3.210526316,2,2.789473684,3.684210526,16.63157895
Richmond,20.10526316,116.2105263,87.52631579,77.63157895,446.6315789,99.36842105,133.8421053,170.5263158,207.9473684,45.52631579,88.52631579,79.73684211,34.89473684,22.78947368,40.57894737,18.47368421,14.10526316,29.15789474,12.73684211,19.26315789,22.21052632,5.210526316,8.157894737,26.21052632,30.52631579,431.1052632,425.2631579,451.9473684,357.8947368,189.1052632,188,42.31578947,76.15789474,121.1578947,17.42105263,4.684210526,14.89473684,4.631578947,18.52631579,15.68421053,19.47368421,60.84210526,29.21052632,5.263157895,15.57894737,10.68421053,7.315789474,9.526315789
Pittsburg_Bay_Point,17.52631579,13.73684211,9.105263158,7.210526316,70.21052632,15.84210526,150.6842105,184.9473684,213.6315789,22.94736842,28.05263158,44.52631579,18.52631579,9.631578947,25.26315789,8.631578947,7.631578947,17.15789474,176,82.15789474,135.7894737,24.68421053,17.05263158,41.78947368,12.78947368,517.1052632,537.3157895,467.4210526,409,140.1052632,112.1578947,48.68421053,58.57894737,110.7894737,16.52631579,2.263157895,4.421052632,30.31578947,25.78947368,21.78947368,30.26315789,122.1052632,19.52631579,1.631578947,20.42105263,12.57894737,18.63157895,25.78947368
West_Dublin,5.631578947,15.52631579,7.684210526,8.842105263,58,15.36842105,29.84210526,127.3684211,127,101.1578947,65.89473684,120.7894737,48.84210526,78.78947368,42.73684211,19.05263158,28.78947368,33.52631579,4.105263158,5.157894737,2.578947368,0.421052632,0.789473684,6.263157895,8.736842105,909,833.3684211,355.8947368,308.8421053,90.21052632,42.84210526,26.78947368,30.47368421,66.89473684,2.947368421,67.42105263,63.68421053,1.157894737,2.210526316,9.894736842,6.105263158,43.31578947,8.842105263,16.73684211,38.68421053,13.63157895,1.210526316,2.368421053
