geoid,geoid20,year,denom_workingage_civ_noninst_pop,laborforce_count,laborforce_pct,denom_labor_force,unemployed_count,unemployed_pct
1400000US06037106641,106641,2021,1752,1095,62.5,1095,92,8.4018269
1400000US06037106642,106642,2021,2787,1772,63.58091,1772,93,5.2483072
1400000US06037106643,106643,2021,3764,2168,57.598301,2168,113,5.2121773
1400000US06037106645,106645,2021,3059,1951,63.779015,1951,188,9.6360836
1400000US06037106646,106646,2021,2500,1465,58.599998,1465,126,8.6006823
1400000US06037106648,106648,2021,3398,2156,63.449089,2156,51,2.3654916
1400000US06037106649,106649,2021,2279,1330,58.358929,1330,92,6.9172931
1400000US06037107010,107010,2021,2688,1655,61.569939,1655,112,6.7673717
1400000US06037107020,107020,2021,3882,2680,69.036575,2680,236,8.8059702
1400000US06037108101,108101,2021,1963,1170,59.60265,1170,66,5.6410255
1400000US06037108102,108102,2021,2771,1628,58.751354,1628,151,9.2751846
1400000US06037108103,108103,2021,2765,1736,62.784809,1736,93,5.3571429
1400000US06037108104,108104,2021,1267,650,51.302288,650,32,4.9230771
1400000US06037108202,108202,2021,6908,5188,75.101334,5188,194,3.7393987
1400000US06037108203,108203,2021,2804,1764,62.91013,1764,78,4.4217687
1400000US06037108204,108204,2021,1359,877,64.532745,877,37,4.2189283
1400000US06037109100,109100,2021,2160,1089,50.416668,1089,65,5.9687786
1400000US06037109200,109200,2021,2286,1578,69.02887,1578,44,2.7883396
1400000US06037109300,109300,2021,2319,1570,67.701599,1570,70,4.4585986
1400000US06037109400,109400,2021,3618,2323,64.206741,2323,76,3.2716315
1400000US06037109500,109500,2021,3169,2041,64.405174,2041,160,7.8392944
1400000US06037109601,109601,2021,4172,2682,64.285713,2682,204,7.6062641
1400000US06037109603,109603,2021,3360,2185,65.029762,2185,119,5.4462242
1400000US06037109604,109604,2021,2324,1761,75.774529,1761,66,3.7478704
1400000US06037109700,109700,2021,3736,2394,64.079231,2394,172,7.184628
1400000US06037109800,109800,2021,3808,2248,59.033615,2248,132,5.8718863
1400000US06037111100,111100,2021,2571,1670,64.955269,1670,91,5.4491019
1400000US06037111201,111201,2021,2889,1786,61.820698,1786,162,9.070549
1400000US06037111202,111202,2021,4865,2959,60.822201,2959,314,10.611693
1400000US06037111204,111204,2021,4816,3127,64.929405,3127,148,4.7329707
1400000US06037111205,111205,2021,2950,2294,77.762711,2294,101,4.4027901
1400000US06037111206,111206,2021,3652,2282,62.486309,2282,122,5.3461876
1400000US06037111302,111302,2021,4264,2930,68.714821,2930,132,4.5051193
